ImageID,ClassName,XMin,YMin,XMax,YMax
person_0000,Person,0.14948185535928704,0.14948185535928704,0.850518144640713,0.850518144640713
person_0001,Person,0.09496474342203831,0.09496474342203831,0.9050352565779617,0.9050352565779617
person_0002,Person,0.05709003198300222,0.05709003198300222,0.9429099680169978,0.9429099680169978
person_0003,Person,0.10930925484531168,0.10930925484531168,0.8906907451546884,0.8906907451546884
person_0004,Person,0.056496790140384834,0.056496790140384834,0.9435032098596152,0.9435032098596152
person_0005,Person,0.062160037848577154,0.062160037848577154,0.9378399621514228,0.9378399621514228
person_0006,Person,0.10225514795591034,0.10225514795591034,0.8977448520440896,0.8977448520440896
person_0007,Person,0.13005440253323985,0.13005440253323985,0.8699455974667601,0.8699455974667601
person_0008,Person,0.053608596110906404,0.053608596110906404,0.9463914038890936,0.9463914038890936
person_0009,Person,0.11788322978808335,0.11788322978808335,0.8821167702119166,0.8821167702119166
person_0010,Person,0.085410208210973,0.085410208210973,0.914589791789027,0.914589791789027
person_0011,Person,0.05920630412643774,0.05920630412643774,0.9407936958735623,0.9407936958735623
person_0012,Person,0.1410539279488484,0.1410539279488484,0.8589460720511516,0.8589460720511516
person_0013,Person,0.09258666468246268,0.09258666468246268,0.9074133353175373,0.9074133353175373
person_0014,Person,0.09648477231063957,0.09648477231063957,0.9035152276893604,0.9035152276893604
person_0015,Person,0.07768823217575765,0.07768823217575765,0.9223117678242423,0.9223117678242423
person_0016,Person,0.056333062024937375,0.056333062024937375,0.9436669379750626,0.9436669379750626
person_0017,Person,0.05867702743301473,0.05867702743301473,0.9413229725669853,0.9413229725669853
person_0018,Person,0.1324935224519037,0.1324935224519037,0.8675064775480963,0.8675064775480963
person_0019,Person,0.06177550268351667,0.06177550268351667,0.9382244973164833,0.9382244973164833
person_0020,Person,0.13242112924611377,0.13242112924611377,0.8675788707538863,0.8675788707538863
person_0021,Person,0.05803651881490657,0.05803651881490657,0.9419634811850934,0.9419634811850934
person_0022,Person,0.050282819691149006,0.050282819691149006,0.949717180308851,0.949717180308851
person_0023,Person,0.11030054257217003,0.11030054257217003,0.88969945742783,0.88969945742783
person_0024,Person,0.10046161026782424,0.10046161026782424,0.8995383897321758,0.8995383897321758
person_0025,Person,0.0563391255222237,0.0563391255222237,0.9436608744777764,0.9436608744777764
person_0026,Person,0.05378686199166571,0.05378686199166571,0.9462131380083343,0.9462131380083343
person_0027,Person,0.057396030210355664,0.057396030210355664,0.9426039697896443,0.9426039697896443
person_0028,Person,0.06232568320820764,0.06232568320820764,0.9376743167917924,0.9376743167917924
person_0029,Person,0.14907328315199003,0.14907328315199003,0.8509267168480099,0.8509267168480099
person_0030,Person,0.09320381313355047,0.09320381313355047,0.9067961868664496,0.9067961868664496
person_0031,Person,0.13926993092264622,0.13926993092264622,0.8607300690773538,0.8607300690773538
person_0032,Person,0.05170061116289937,0.05170061116289937,0.9482993888371006,0.9482993888371006
person_0033,Person,0.12154383476499536,0.12154383476499536,0.8784561652350047,0.8784561652350047
person_0034,Person,0.05109005299112768,0.05109005299112768,0.9489099470088723,0.9489099470088723
person_0035,Person,0.09566995164430253,0.09566995164430253,0.9043300483556975,0.9043300483556975
person_0036,Person,0.10060875796581809,0.10060875796581809,0.8993912420341819,0.8993912420341819
person_0037,Person,0.05614394982591275,0.05614394982591275,0.9438560501740872,0.9438560501740872
person_0038,Person,0.0648940261422003,0.0648940261422003,0.9351059738577997,0.9351059738577997
person_0039,Person,0.10319792309937098,0.10319792309937098,0.8968020769006291,0.8968020769006291
